Cohort Year,Level,Division Number,Division Name,School Number,School Name,Type of Graduation Rate,Rate Type,English Learner,Graduation Rate,Students in Cohort,Total Graduates,Advanced Studies,IB,Standard,Other Diplomas,Applied Studies,Dropout Rate
2011,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    94.36%,             443,             418,             305,               0,             103,<,<,     3.39%
2011,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    76.47%,              17,              13,               8,               0,               5,               0,               0,    17.65%
2011,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    92.98%,             285,             265,             171,               0,              78,<,              12,     3.16%
2011,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    82.35%,              17,              14,               4,               0,              10,               0,               0,    17.65%
2011,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    97.90%,             238,             233,             171,               0,              56,<,<,      .84%
2011,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,<,<,<,<,<,<,<,<,<
2011,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    93.47%,             995,             930,             653,               0,             244,<,              27,     3.12%
2011,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    80.56%,              36,              29,              13,               0,              15,               0,<,    16.67%
2011,State,,,,,On-Time Graduation Rate,4 yr rate,N,    87.20%,"          93,548","          81,574","          44,438",             802,"          32,722","           1,576","           2,039",     6.51%
2011,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    73.67%,"           4,410","           3,249","           1,075",               8,"           1,979",              99,              88,    21.56%
2012,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    92.63%,             380,             352,             275,               0,              63,<,              10,     3.95%
2012,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    88.46%,              26,              23,              14,               0,               8,               0,<,     7.69%
2012,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    89.81%,             314,             282,             207,               0,              67,<,<,     6.37%
2012,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,<,<,<,<,<,<,<,<,<
2012,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    96.11%,             257,             247,             177,               0,              61,               0,<,     1.56%
2012,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    92.36%,             982,             907,             665,               0,             211,<,              25,     4.18%
2012,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    81.82%,              33,              27,              16,               0,              10,               0,<,    15.15%
2012,State,,,,,On-Time Graduation Rate,4 yr rate,N,    88.66%,"          92,751","          82,227","          45,429",             782,"          32,316","           1,651","           2,052",     5.88%
2012,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    72.48%,"           4,349","           3,152",             911,               7,"           2,043",             115,              76,    22.23%
2013,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    95.71%,             420,             402,             314,               0,              73,               0,              15,     2.62%
2013,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    80.95%,              21,              17,               7,               0,              10,               0,               0,    14.29%
2013,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    92.75%,             276,             256,             182,               0,              63,<,<,     4.71%
2013,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    81.82%,              11,               9,               3,               0,               5,<,               0,    18.18%
2013,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    95.93%,             270,             259,             181,               0,              68,<,<,     1.48%
2013,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,<,<,<,<,<,<,<,<,<
2013,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    93.89%,             999,             938,             681,               0,             218,<,              36,     3.00%
2013,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    81.82%,              33,              27,              11,               0,              15,<,               0,    15.15%
2013,State,,,,,On-Time Graduation Rate,4 yr rate,N,    89.89%,"          92,326","          82,988","          46,224",             876,"          32,532","           1,405","           1,953",     5.14%
2013,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    70.78%,"           3,912","           2,769",             691,               4,"           1,875",             109,              90,    23.88%
2014,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    95.69%,             418,             400,             289,               0,             101,<,<,     1.67%
2014,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    66.67%,              24,              16,               9,               0,               7,               0,               0,     8.33%
2014,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    95.44%,             263,             251,             173,               0,              70,<,<,     2.28%
2014,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    69.23%,              13,               9,               0,               0,               7,               0,<,    23.08%
2014,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    97.66%,             256,             250,             183,               0,              60,               0,<,     1.17%
2014,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,<,<,<,<,<,<,<,<,<
2014,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    95.95%,             964,             925,             651,               0,             247,<,              23,     1.76%
2014,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    68.42%,              38,              26,               9,               0,              14,               0,<,    13.16%
2014,State,,,,,On-Time Graduation Rate,4 yr rate,N,    90.78%,"          90,883","          82,505","          46,393",             967,"          31,855","           1,378","           1,915",     4.63%
